ACCT,303,2,2625,Park J,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,303,900,1543,Lemma T,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
ACCT,303,900,4822,Park J,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,341,1,4029,Bonaparte I,DA MANAGERIAL ACCT W/CONNECT,GARRISON,17TH,9781260612479,IN,F21,       
ACCT,341,1,4824,Bonaparte I,DA MANAGERIAL ACCT W/CONNECT,GARRISON,17TH,9781260612479,IN,S22,       
ACCT,341,2,4030,Bonaparte I,DA MANAGERIAL ACCT W/CONNECT,GARRISON,17TH,9781260612479,IN,F21,       
ACCT,341,2,4825,Bonaparte I,DA MANAGERIAL ACCT W/CONNECT,GARRISON,17TH,9781260612479,IN,S22,       
ACCT,341,900,1549,Bonaparte I,DA MANAGERIAL ACCT W/CONNECT,GARRISON,17TH,9781260612479,IN,F21,       
ACCT,341,900,2635,Bonaparte I,DA MANAGERIAL ACCT W/CONNECT,GARRISON,17TH,9781260612479,IN,S22,       
ACCT,361,1,1551,Zhang Z,DA TAX FOR INDIVIDUALS W/CONNECT,SPILKER,13,9781265608866,IN,F21,       
ACCT,361,1,4826,Zhang Z,DA TAX FOR INDIVIDUALS W/CONNECT,SPILKER,13,9781265608866,IN,S22,       
ACCT,361,2,1553,Zhang Z,DA TAX FOR INDIVIDUALS W/CONNECT,SPILKER,13,9781265608866,IN,F21,       
ACCT,361,2,2640,Zhang Z,DA TAX FOR INDIVIDUALS W/CONNECT,SPILKER,13,9781265608866,IN,S22,       
ACCT,361,900,4031,Zhang Z,DA TAX FOR INDIVIDUALS W/CONNECT,SPILKER,13,9781265608866,IN,F21,       
ACCT,361,900,2643,Zhang Z,DA TAX FOR INDIVIDUALS W/CONNECT,SPILKER,13,9781265608866,IN,S22,       
ACCT,361,901,6622,Schuldenfrei A,DA TAX FOR INDIVIDUALS W/CONNECT,SPILKER,13,9781265608866,IN,F21,       
ACCT,362,1,2647,Hammer S,"PEARSON'S FED.TAX.,2022:CORP.-MYLAB",RUPERT,22,9780137330812,RQ,S22,       
ACCT,362,1,2647,Hammer S,MYLAB ACCOUNTING WITH PEARSON ETEXT --,N/A, ,9780137330812,RQ,S22,       
ACCT,362,101,1556,Hammer S,DA SOUTH-WESTERN FED TAX 21 W/NOWV2 1TM,MALONEY, ,9780350000004,IN,F21,       
ACCT,362,101,1556,Hammer S,"PEARSON'S FED.TAX.,2022:CORP.-MYLAB",RUPERT,22,9780137330812,RQ,F21,       
ACCT,362,101,1556,Hammer S,MYLAB ACCOUNTING WITH PEARSON ETEXT --,N/A, ,9780137330812,RQ,F21,       
ACCT,401,1,4032,Elshahat I,DA PRINCIPLES OF AUDITING W/CONNECT,WHITTINGTON,22,9781260983173,IN,F21,       
ACCT,401,1,2650,Elshahat I,DA PRINCIPLES OF AUDITING W/CONNECT,WHITTINGTON,22,9781260983173,IN,S22,       
ACCT,401,900,1558,Elshahat I,DA PRINCIPLES OF AUDITING W/CONNECT,WHITTINGTON,22,9781260983173,IN,F21,       
ACCT,401,900,4827,Elshahat I,DA PRINCIPLES OF AUDITING W/CONNECT,WHITTINGTON,22,9781260983173,IN,S22,       
ACCT,402,101,1560,Seymour W,CONTEMPORARY AUDITING:REAL ISSUES+CASES,KNAPP,11TH 18,9781305970816,RQ,F21,       
ACCT,402,101,1560,Seymour W,CONTEMPORARY AUDITING,KNAPP,11,9781337514811,OP,F21,       
ACCT,402,101,1560,Seymour W,CONTEMPORARY AUDITING,KNAPP,11,9781337514811,OP,F21,       
ACCT,412,1,1569,Park J,DA INTERNATIONAL ACCOUNTING W/CONNECT,DOUPNIK,5TH,9781260828061,IN,F21,       
ACCT,412,1,2660,Park J,DA INTERNATIONAL ACCOUNTING W/CONNECT,DOUPNIK,5TH,9781260828061,IN,S22,       
ACCT,412,900,1572,Park J,DA INTERNATIONAL ACCOUNTING W/CONNECT,DOUPNIK,5TH,9781260828061,IN,F21,       
ACCT,421,1,1545,Lemma T,DA ADVANCED ACCOUNTING W/CONNECT,HOYLE,14TH,9781260610079,IN,F21,       
ACCT,421,1,2629,Lemma T,DA ADVANCED ACCOUNTING W/CONNECT,HOYLE,14TH,9781260610079,IN,S22,       
ACCT,421,900,4028,Russo C,DA ADVANCED ACCOUNTING W/CONNECT,HOYLE,14TH,9781260610079,IN,F21,       
ACCT,421,900,4823,Lemma T,DA ADVANCED ACCOUNTING W/CONNECT,HOYLE,14TH,9781260610079,IN,S22,       
